City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,guerrero negro,27.9769,-114.0611,19.37,41,68,0.51,MX,1679939352
267,alice springs,-23.7,133.8833,27.75,32,100,2.57,AU,1679939267
268,lebu,-37.6167,-73.65,15.86,65,4,2.93,CL,1679939057
269,araouane,18.9048,-3.5265,34.18,8,29,3.58,ML,1679939353
270,kayerkan,69.3497,87.7602,-27.49,82,98,1.73,RU,1679939353
271,nagorsk,59.3172,50.8078,4.49,99,100,3.66,RU,1679939353
272,tursunzoda,38.5144,68.2333,16.41,43,67,2.83,TJ,1679939354
273,karasjok,69.4719,25.5112,-15.86,99,25,1.35,NO,1679939354
274,katobu,-4.9408,122.5276,24.5,92,100,1.23,ID,1679939355
275,santiago,-33.4569,-70.6483,30.86,36,0,5.66,CL,1679938814
276,havre-saint-pierre,50.2334,-63.5986,1.2,69,75,3.09,CA,1679939318
277,lavrentiya,65.5833,-171.0,-22.63,85,12,2.84,RU,1679939356
278,vanavara,60.34,102.2797,0.21,90,100,7.24,RU,1679939356
279,saint george,37.1041,-113.5841,8.02,38,0,0.89,US,1679939142
280,batagay,67.6333,134.6333,-11.43,87,100,2.16,RU,1679939357
281,le port,-20.9373,55.2919,24.0,75,20,0.91,RE,1679939358
282,nuuk,64.1835,-51.7216,-3.66,80,0,6.71,GL,1679939358
283,iqaluit,63.7506,-68.5145,-10.15,79,100,1.54,CA,1679939182
284,chateaubelair,13.2833,-61.25,28.29,65,40,7.2,VC,1679939359
285,dali,25.7,100.1833,10.55,85,63,2.19,CN,1679939360
286,gamba,-2.65,10.0,26.78,80,97,3.81,GA,1679939361
287,vila franca do campo,37.7167,-25.4333,17.23,82,46,6.44,PT,1679939362
288,praia da vitoria,38.7333,-27.0667,18.14,72,20,9.83,PT,1679939363
289,saint-philippe,-21.3585,55.7679,23.77,80,43,2.8,RE,1679939173
290,tuatapere,-46.1333,167.6833,6.34,78,99,5.07,NZ,1679939363
291,dryden,49.7833,-92.7503,-6.84,53,0,1.54,CA,1679939141
292,maridi,4.9158,29.4742,26.03,49,96,0.4,SS,1679939364
293,katastarion,37.8333,20.7667,16.97,59,20,6.17,GR,1679939365
294,cherskiy,68.75,161.3,-22.81,88,17,4.95,RU,1679939366
295,ossora,59.2353,163.0719,-14.42,92,91,3.02,RU,1679939368
296,rong kwang,18.339,100.3174,26.71,34,0,0.76,TH,1679939368
297,flinders,-34.5833,150.8552,20.66,86,88,1.79,AU,1679939369
298,dubti,11.7361,41.0853,32.46,45,65,7.53,ET,1679939370
299,mount gambier,-37.8333,140.7667,11.18,93,43,1.42,AU,1679939370
300,margate,51.3813,1.3862,9.27,55,14,0.89,GB,1679939370
301,dubbo,-32.25,148.6167,21.07,88,100,4.12,AU,1679939374
302,hudson bay,52.85,-102.3842,-11.06,70,77,1.99,CA,1679939226
303,bandarbeyla,9.4942,50.8122,27.42,77,24,4.13,SO,1679939376
304,boa vista,2.8197,-60.6733,31.99,45,75,6.17,BR,1679938993
305,kaeo,-35.1,173.7833,10.74,93,1,1.65,NZ,1679939377
306,diamantino,-14.4086,-56.4461,30.81,59,11,1.99,BR,1679939377
307,pueblo nuevo,23.3833,-105.3833,22.91,5,95,3.13,MX,1679939378
308,inzhavino,52.3185,42.4937,6.17,91,61,2.87,RU,1679939379
309,shakiso,5.75,38.9167,16.35,86,74,1.54,ET,1679939379
310,east kilbride,55.7667,-4.1667,6.92,70,81,2.05,GB,1679939380
311,gornopravdinsk,60.05,69.9,2.2,99,100,2.45,RU,1679939380
312,husavik,66.0449,-17.3389,-1.82,90,100,6.25,IS,1679939380
313,deer lake,49.1667,-57.4316,3.92,60,100,2.57,CA,1679939381
314,the valley,18.217,-63.0578,28.92,100,20,8.75,AI,1679939381
315,coro,11.4045,-69.6734,29.93,51,72,10.85,VE,1679939381
316,maceio,-9.6658,-35.7353,30.69,62,40,5.66,BR,1679939046
317,griffith,41.5284,-87.4237,9.58,71,40,7.2,US,1679939382
318,komsomolskiy,40.4272,71.7189,12.4,58,51,4.12,UZ,1679939382
319,chimore,-16.9833,-65.1333,29.53,65,88,0.92,BO,1679939382
320,ballina,-28.8667,153.5667,21.55,90,84,2.48,AU,1679939383
321,kelvington,52.1667,-103.5343,-15.35,90,94,2.2,CA,1679939383
322,mastic beach,40.7668,-72.8521,14.54,40,0,4.02,US,1679939383
323,helena,46.5927,-112.0361,1.86,56,0,2.06,US,1679939104
324,oussouye,12.485,-16.5469,35.1,37,11,5.17,SN,1679939384
325,north bend,43.4065,-124.2243,5.09,87,100,3.09,US,1679939143
326,newcastleton,55.1796,-2.8127,7.19,72,57,1.62,GB,1679939385
327,cidreira,-30.1811,-50.2056,23.19,54,12,4.1,BR,1679939386
328,mucurapo,10.6667,-61.5333,32.23,60,64,0.89,TT,1679939386
329,saint anthony,45.0205,-93.218,3.27,44,0,3.09,US,1679939386
330,birao,10.2849,22.7882,29.54,18,86,3.08,CF,1679939387
331,ouegoa,-20.35,164.4333,24.69,87,67,1.98,NC,1679939387
332,talnakh,69.4865,88.3972,-27.11,98,93,4.34,RU,1679939388
333,sisimiut,66.9395,-53.6735,-9.43,73,10,3.09,GL,1679939388
334,mitchelstown,52.2658,-8.2681,9.42,86,100,5.61,IE,1679939388
335,vega de alatorre,20.0333,-96.6333,29.9,61,13,3.86,MX,1679939389
336,miranda,3.2499,-76.2281,27.07,69,74,0.71,CO,1679939389
337,oriximina,-1.7656,-55.8661,26.14,81,99,2.27,BR,1679939389
338,boyolangu,-8.1181,111.8935,23.55,88,100,1.51,ID,1679939390
339,marquette,46.5333,-87.6335,1.76,68,69,2.68,US,1679939390
340,burns lake,54.2331,-125.7533,-3.32,79,33,0.39,CA,1679939391
341,vardo,70.3705,31.1107,-5.01,86,40,5.66,NO,1679939391
342,minden,52.2833,8.9167,5.5,69,20,4.12,DE,1679939391
343,kismayo,-0.3582,42.5454,27.88,75,100,5.55,SO,1679939392
344,maniitsoq,65.4167,-52.9,-6.38,70,3,3.44,GL,1679939392
345,morgan city,29.6994,-91.2068,26.67,72,96,2.44,US,1679939392
346,nkhata bay,-11.6066,34.2907,23.83,85,81,2.39,MW,1679939393
347,edd,13.9297,41.6925,25.58,74,54,6.92,ER,1679939393
